AtcoCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0180BAC30174,bthjatw,,,Frome Road,en,,,,,Frome Road,en,,,o/s 67,en,NW,E0035066,Odd Down,Bath,,,,,,0,U,373790,162343,-2.37783,51.35954,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30176,bthjdat,,,Red Lion,en,,,,,Frome Road,en,,,SE-Bound,en,SE,E0035066,Odd Down,Bath,,,,,,0,U,373902,162262,-2.37622,51.35882,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30177,bthjdam,,,Red Lion,en,,,,,Wellsway,en,,,NW-Bound,en,NW,E0035066,Odd Down,Bath,,,,,,0,U,373882,162264,-2.37651,51.35884,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30178,bthjdmg,,,Midford Road,en,,,,,Wellsway,en,,,NE-Bound,en,NE,E0035066,Odd Down,Bath,,,,,,0,U,374082,162355,-2.37364,51.35967,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30179,bthjapa,,,Oolite Grove,en,,,,,Wellsway,en,,,NE-Bound,en,NE,E0035066,Odd Down,Bath,,,,,,0,U,373737,162072,-2.37857,51.3571,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30180,bthjajt,,,Oolite Grove,en,,,,,Wellsway,en,,,SW-Bound,en,SW,E0035066,Odd Down,Bath,,,,,,0,U,373711,162027,-2.37894,51.3567,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30181,bthjdaj,,,Banwell Road,en,,,,,Banwell Road,en,,,o/s 33,en,E,E0035066,Odd Down,Bath,,,,,,0,U,373882,161903,-2.37648,51.35559,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30182,bthjdjm,,,Lympsham Green,en,,,,,Cranmore Place,en,,,SE-Bound,en,SE,E0035066,Odd Down,Bath,,,,,,0,U,373993,161961,-2.37489,51.35612,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30183,bthjdmd,,,Cranmore Place,en,,,,,Cranmore Place,en,,,o/s 70,en,W,E0035066,Odd Down,Bath,,,,,,0,U,374026,161837,-2.37441,51.355,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30185,bthjamp,,,Abingdon Place,en,,,,,Banwell Road,en,,,NW-Bound,en,NW,E0035066,Odd Down,Bath,,,,,,0,U,373731,161919,-2.37865,51.35573,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30186,bthjmgm,,,Hawthorn Grove,en,,,,,Entry Hill,en,,,S-Bound,en,S,N0060724,Fox Hill,Bath,,,,,,0,U,374762,162333,-2.36387,51.3595,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30187,bthdwtg,,,Mendip Gardens,en,,,,,Wellsway,en,,,NE-Bound,en,NE,E0035066,Odd Down,Bath,,,,,,0,U,373490,161836,-2.38209,51.35497,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30188,bthdwtm,,,Mendip Gardens,en,,,,,Wellsway,en,,,SW-Bound,en,SW,E0035066,Odd Down,Bath,,,,,,0,U,373546,161882,-2.38129,51.35539,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30189,bthdwpj,,,Combe Hay Lane,en,,,,,Roman Road,en,,,SW-Bound,en,SW,E0035066,Odd Down,Bath,,,,,,0,U,373439,161756,-2.38282,51.35425,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30190,bthdwtj,,,Wansdyke Inn,en,,,,,Upper Bloomfield Road,en,,,NE-Bound,en,NE,E0035066,Odd Down,Bath,,,,,,0,U,373496,162033,-2.38202,51.35674,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30191,bthjagp,,,Noads Corner,en,,,,,Upper Bloomfield Road,en,,,NE-Bound,en,NE,E0035066,Odd Down,Bath,,,,,,0,U,373644,162292,-2.37991,51.35908,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30192,bthjagt,,,Noads Corner,en,,,,,Frome Road,en,,,NW-Bound,en,NW,E0035066,Odd Down,Bath,,,,,,0,U,373651,162433,-2.37982,51.36035,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30193,bthjagw,,,Noads Corner,en,,,,,Frome Road,en,,,SE-Bound,en,SE,E0035066,Odd Down,Bath,,,,,,0,U,373653,162445,-2.37979,51.36045,BCT,CUS,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30194,bthjadg,,,Barrow Road,en,,,,,Frome Road,en,,,SE-Bound,en,SE,E0035066,Odd Down,Bath,,,,,,0,U,373526,162529,-2.38162,51.3612,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30195,bthdwma,,,Barrow Road,en,,,,,Frome Road,en,,,W-Bound,en,W,E0035066,Odd Down,Bath,,,,,,0,U,373427,162566,-2.38305,51.36153,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
